VARNAMES: CID CIDint SURVEY TYPE FIELD CUTFLAG_SNANA zHEL zHELERR zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV m0obs_i m0obs_r em0obs_i em0obs_r MU MUMODEL MUERR MUERR_RAW MURES MUPULL M0DIF ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE 
SN: 1281886 1281886 10 1 S2 1 0.38500 0.00500 0.38400 0.00500 0.38400 0.00500 0 0 9.7270 0.1685 16.9663 14.5743 12.1279 57268.293 0.434 1.1866 0.4258 -3.95397e-02 4.06761e-02 22.0119 6.03456e-02 2.81335e-05 1.56367e-06 6.31886e-03 -4.71558e-07 -4.62219e-08 56 44.5770 0.8641 41.725182 -1.009943 7.9563 -1.43727e+01 43.9587 2.86780e-02 21.9885 21.9262 3.62340e-02 5.11100e-02  41.6725 41.5800  0.1280  0.1274  0.0785  0.613  0.0140 0  0.003  0.004 -0.001  0.147  0.005  0.549 1 
SN: 1282736 1282736 10 1 X2 1 0.37000 0.00500 0.36890 0.00500 0.36890 0.00500 0 0 10.6030 1.55000e-02 16.6428 14.0731 10.1679 57266.328 0.430 -7.74390e-01 0.4262 9.41145e-02 4.38108e-02 22.3791 6.11534e-02 2.00620e-05 1.12998e-06 8.27309e-03 -3.20305e-07 -3.96104e-08 51 32.7073 0.9783 35.809322 -6.268094 6.5437 -1.24458e+01 44.3374 2.51530e-02 22.2492 22.2638 3.50370e-02 4.94980e-02  41.4135 41.4777  0.1379  0.1220 -0.0781 -0.567  0.0140 0 -0.121  0.013  0.005 -0.102  0.031  0.667 1 
SN: 1283373 1283373 10 1 C1 1 0.20800 0.00100 0.20750 0.00100 0.20750 0.00100 0 0 10.2310 1.75000e-02 36.5746 35.9826 19.3204 57268.449 0.333 -1.07014e+00 0.2622 -4.71596e-02 3.30783e-02 20.8112 4.40603e-02 8.50160e-05 3.45003e-06 1.46601e-03 -3.36027e-07 -9.53865e-08 27 21.6005 0.7994 54.946724 -26.730389 9.0833 -1.07907e+01 41.9728 1.19620e-02 21.0957 20.9215 3.59890e-02 2.65950e-02  40.1866 40.0457  0.1074  0.0934  0.1461  1.360 -0.0051 0  0.001  0.007 -0.006 -0.027 -0.003  0.516 1 
SN: 1283878 1283878 10 1 X3 1 0.31450 0.00100 0.31350 0.00100 0.31350 0.00100 0 0 11.4090 0.1955 14.5293 10.2790 7.8676 57265.527 0.433 -8.33104e-01 0.4816 -1.42642e-02 4.86900e-02 21.8126 7.31665e-02 3.38035e-05 2.27798e-06 9.91766e-03 -7.06001e-07 -8.30833e-08 40 7.3911 1 37.133163 -4.041299 6.0473 -1.23502e+01 40.9020 2.30600e-02 21.8257 21.8088 5.20040e-02 5.58260e-02  41.1508 41.0659  0.1364  0.1351  0.0632  0.464  0.0216 0 -0.045  0.006 -0.005 -0.063  0.009  0.584 1 
SN: 1283936 1283936 10 1 E2 1 0.37000 0.00500 0.36900 0.00500 0.36900 0.00500 0 0 9.6500 1.85000e-02 14.2926 12.5189 12.2214 57268.660 0.654 4.42370e-02 0.6109 0.1884 5.91548e-02 22.8037 8.18742e-02 1.35685e-05 1.02318e-06 1.99618e-02 -4.09741e-07 -5.23170e-08 63 32.3174 0.9997 8.877557 -44.371326 7.1824 -1.48095e+01 44.0693 7.58700e-03 22.5182 22.6142 3.58530e-02 6.20180e-02  41.6338 41.4784  0.1509  0.1410  0.1414  0.937  0.0140 0 -0.151  0.023  0.033 -0.021  0.050  0.680 1 
SN: 1285160 1285160 10 1 C3 1 0.75000 0.00500 0.74930 0.00500 0.74930 0.00500 0 0 7.9780 0.3450 26.9884 20.9591 19.8853 57272.664 0.428 -3.69158e-01 0.2807 -1.75290e-01 4.80140e-02 23.6014 3.60313e-02 6.50808e-06 2.15978e-07 2.76143e-03 -3.29259e-08 -4.97786e-09 42 25.4567 0.9794 52.398907 -28.647585 5.7589 -1.32879e+01 43.7522 8.58400e-03 23.1751 23.4100 3.37500e-02 6.49970e-02  43.2722 43.3279  0.1047  0.1655 -0.0246 -0.235 -0.0312 0  0.251  0.020 -0.038 -0.579 -0.104  0.267 1 
SN: 1285317 1285317 10 1 E2 1 0.56600 0.00500 0.56490 0.00500 0.56490 0.00500 0 0 8.7390 0.1660 15.8436 15.5257 13.2824 57268.473 0.633 3.74651e-02 0.5562 -6.22008e-02 4.15726e-02 22.9411 5.07175e-02 1.19551e-05 5.58452e-07 7.03838e-03 -2.09505e-07 -1.25411e-08 67 46.7125 0.9719 9.472534 -43.314522 6.2834 -1.28362e+01 41.9909 4.55400e-03 22.7410 22.6692 4.13040e-02 5.27470e-02  42.5499 42.5804  0.1345  0.1515 -0.0080 -0.059 -0.0226 0 -0.032  0.007 -0.022 -0.159 -0.004  0.495 1 
SN: 1286398 1286398 10 1 X3 1 0.15120 0.00100 0.15030 0.00100 0.15030 0.00100 0 0 10.3630 1.90000e-02 41.2774 35.3393 33.1329 57270.906 0.349 -1.83747e+00 0.2251 -4.17180e-02 4.25642e-02 20.2178 6.37565e-02 1.46853e-04 8.62349e-06 4.38881e-03 -1.27560e-06 -3.22845e-07 23 15.2923 0.9119 36.813190 -5.119083 6.9832 -1.17982e+01 42.0282 2.33830e-02 20.6215 20.4462 4.20590e-02 3.14190e-02  39.4586 39.2707  0.1132  0.0989  0.1402  1.239  0.0477 0  0.003  0.013 -0.003 -0.020 -0.003  0.547 1 
SN: 1287626 1287626 10 1 X2 1 0.30500 0.00500 0.30400 0.00500 0.30400 0.00500 0 0 8.2030 0.2260 39.7478 36.9808 31.9777 56682.727 0.404 3.99898e-02 0.4228 -1.17200e-03 3.08142e-02 21.4321 3.43431e-02 4.79891e-05 1.51795e-06 1.37277e-03 -1.95807e-07 -3.66214e-08 8 11.0817 0.2701 35.931824 -5.961218 6.1602 -1.19941e+01 10.9914 2.28020e-02 21.4393 21.4290 2.84580e-02 2.35600e-02  40.8351 40.9887  0.1267  0.1142 -0.1752 -1.383  0.0216 0 -0.045  0.005 -0.003 -0.028  0.011  0.602 1 
SN: 1289288 1289288 10 1 E2 1 0.29060 0.00100 0.28970 0.00100 0.28970 0.00100 0 0 10.6450 2.35000e-02 20.3268 13.1615 11.9464 57273.609 0.706 -1.09656e+00 0.5175 9.32964e-02 4.54088e-02 21.8442 5.05784e-02 3.28330e-05 1.52951e-06 4.44461e-03 -3.09203e-07 -4.29298e-08 35 13.2507 0.9998 10.178906 -43.948338 7.6273 -1.34718e+01 42.9427 5.49700e-03 21.6902 21.7580 5.44060e-02 3.92340e-02  40.8144 40.8681  0.1626  0.1526 -0.0370 -0.228 -0.0166 0 -0.101  0.013  0.003 -0.082  0.026  0.717 1 
SN: 1289555 1289555 10 101 S2 1 0.56000 0.00500 0.55880 0.00500 0.55880 0.00500 0 0 9.2780 0.1075 14.0499 11.5451 7.4302 57275.625 0.886 0.3556 0.5204 -1.28795e-01 4.52896e-02 22.7062 5.18602e-02 1.48432e-05 7.08984e-07 3.25542e-03 -1.84060e-07 -1.61986e-08 61 58.7989 0.5919 40.733051 -1.392923 7.0638 -1.49489e+01 44.6214 2.91360e-02 22.6050 22.4752 4.38260e-02 5.52780e-02  42.4235 42.5519  0.1388  0.1685 -0.1058 -0.763 -0.0226 0  0.145  0.007 -0.030 -0.110 -0.053  0.458 1 
SN: 1289600 1289600 10 101 C3 1 0.42020 0.00100 0.41960 0.00100 0.41960 0.00100 0 0 9.7120 5.10000e-02 28.4044 26.3269 21.8309 57283.113 0.369 1.2862 0.2729 4.32458e-02 2.75704e-02 22.6131 3.18741e-02 1.61722e-05 4.74771e-07 5.38666e-04 -4.87676e-08 -9.21424e-09 46 16.5647 1 52.047657 -27.862852 5.6798 -1.25422e+01 44.3159 8.05700e-03 22.3891 22.4151 2.22950e-02 2.80890e-02  42.0296 41.8073  0.1183  0.0944  0.2300  1.945 -0.0077 0 -0.035  0.008  0.017  0.318  0.028  0.621 1 
SN: 1289656 1289656 10 1 C1 1 0.54000 0.00500 0.53940 0.00500 0.53940 0.00500 0 0 8.7270 0.1705 13.2494 11.5516 9.9743 57269.918 0.775 -3.26700e-02 0.5743 -3.84330e-02 4.95376e-02 22.9642 6.31811e-02 1.17036e-05 6.81057e-07 7.31238e-03 -2.28916e-07 -2.00537e-08 58 41.7050 0.9571 54.301674 -27.355434 7.1226 -1.33092e+01 40.3663 9.21800e-03 22.8060 22.6963 4.48560e-02 6.36060e-02  42.5142 42.4593  0.1490  0.1711  0.0775  0.520 -0.0226 0 -0.069  0.007 -0.019 -0.164  0.007  0.518 1 
SN: 1289664 1289664 10 1 S2 1 0.25000 0.00500 0.24910 0.00500 0.24910 0.00500 0 0 2 2 48.7591 45.4823 44.4623 57278.918 0.265 -1.07871e+00 0.1870 -3.49763e-02 2.78195e-02 21.0453 3.27828e-02 6.85326e-05 2.06928e-06 2.35660e-04 -6.58307e-08 -4.67249e-08 30 29.8454 0.4736 40.896774 -1.129924 8.8188 -1.09031e+01 40.2031 2.81370e-02 21.1932 21.1271 2.51090e-02 1.93460e-02  40.3781 40.4933  0.1104  0.0951 -0.1091 -0.989 -0.0060 0 -0.018  0.006 -0.006 -0.041  0.001  0.537 1 
SN: 1290779 1290779 10 1 C1 1 0.39000 0.01000 0.38950 0.01000 0.38950 0.01000 0 0 2 2 23.3411 19.7337 18.7337 56891.844 0.618 -6.60834e-01 0.4007 -4.29745e-02 3.06173e-02 22.2628 3.69016e-02 2.23302e-05 7.58950e-07 1.39062e-03 -1.09194e-07 -1.50886e-08 28 34.5403 0.1836 54.723251 -27.905073 11.5024 -3.20369e+00 41.3557 9.50000e-03 22.2137 22.1246 2.69400e-02 3.10390e-02  41.6984 41.6164  0.1280  0.1279  0.0680  0.531  0.0140 0 -0.030  0.005 -0.013 -0.110  0.000  0.546 1 
SN: 1290816 1290816 10 1 C1 1 0.21890 0.00100 0.21850 0.00100 0.21850 0.00100 0 0 8.8590 9.00000e-03 67.1910 55.8422 44.9093 56891.875 0.430 1.3700 0.2563 1.01034e-02 2.71316e-02 20.8335 3.13972e-02 8.32917e-05 2.40862e-06 -8.04736e-05 -1.28813e-07 -5.33528e-08 17 17.5194 0.4197 54.172512 -27.840000 13.1202 -3.67903e+00 42.1358 1.03460e-02 21.0536 20.8668 2.88890e-02 1.80350e-02  40.3512 40.1716  0.1134  0.0878  0.1848  1.630 -0.0051 0 -0.005  0.008  0.009  0.169  0.011  0.603 1 
