zHD,MU
0.391,41.29127356569936
0.392,41.29717809536383
0.393,41.30306816706196
0.394,41.30894385313845
0.395,41.314805225390636
0.396,41.32065235507399
0.397,41.32648531290759
0.398,41.33230416907952
0.399,41.33810899325214
0.4,41.34389985456741
0.401,41.34967682165205
0.402,41.35543996262263
0.403,41.361189345090715
0.404,41.36692503616777
0.405,41.37264710247016
0.406,41.378355610124004
0.40700000000000003,41.38405062477
0.40800000000000003,41.38973221156815
0.40900000000000003,41.395400435202525
0.41000000000000003,41.40105535988583
0.41100000000000003,41.40669704936405
0.41200000000000003,41.41232556692093
0.41300000000000003,41.4179409753825
0.41400000000000003,41.42354333712146
0.41500000000000004,41.429132714061524
0.41600000000000004,41.43470916768183
0.417,41.44027275902109
0.418,41.44582354868187
0.419,41.45136159683474
0.42,41.456886963222345
0.421,41.46239970716354
0.422,41.46789988755735
0.423,41.47338756288697
0.424,41.478862791223634
0.425,41.484325630230565
0.426,41.489776137166736
0.427,41.4952143688907
0.428,41.5006403818643
0.429,41.50605423215638
0.43,41.51145597544645
0.431,41.51684566702825
0.432,41.52222336181338
0.433,41.5275891143348
0.434,41.532942978750285
0.435,41.53828500884593
0.436,41.54361525803954
0.437,41.548933779383944
0.438,41.554240625570415
0.439,41.5595358489319
0.44,41.564819501446294
0.441,41.57009163473964
0.442,41.57535230008934
0.443,41.580601548427296
0.444,41.585839430342986
0.445,41.59106599608657
0.446,41.59628129557193
0.447,41.601485378379664
0.448,41.606678293760055
0.449,41.61186009063606
0.45,41.61703081760611
0.451,41.6221905229471
0.452,41.62733925461718
0.453,41.63247706025856
0.454,41.63760398720029
0.455,41.642720082461054
0.456,41.64782539275181
0.457,41.65291996447857
0.458,41.65800384374501
0.459,41.663077076355066
0.46,41.668139707815655
0.461,41.6731917833391
0.462,41.678233347845804
0.463,41.6832644459667
0.464,41.68828512204576
0.465,41.69329542014246
0.466,41.69829538403423
0.467,41.70328505721885
0.468,41.708264482916846
0.46900000000000003,41.71323370407384
0.47000000000000003,41.718192763362936
0.47100000000000003,41.72314170318694
0.47200000000000003,41.72808056568073
0.47300000000000003,41.73300939271349
0.47400000000000003,41.73792822589094
0.47500000000000003,41.74283710655756
0.47600000000000003,41.74773607579879
0.47700000000000004,41.75262517444318
0.47800000000000004,41.75750444306456
0.47900000000000004,41.76237392198416
0.48,41.76723365127266
0.481,41.772083670752366
0.482,41.7769240199992
0.483,41.78175473834475
0.484,41.786575864878294
0.485,41.791387438448794
0.486,41.796189497666866
0.487,41.80098208090675
0.488,41.80576522630821
0.489,41.8105389717785
0.49,41.815303354994214
0.491,41.820058413403174
0.492,41.82480418422631
0.493,41.829540704459475
0.494,41.834268010875256
0.495,41.83898614002481
0.496,41.8436951282396
0.497,41.84839501163322
0.498,41.85308582610309
0.499,41.85776760733219
0.5,41.86244039079081
0.501,41.86710421173822
0.502,41.871759105224335
0.503,41.8764051060914
0.504,41.88104224897564
0.505,41.88567056830886
0.506,41.89029009832008
0.507,41.894900873037145
0.508,41.89950292628825
0.509,41.90409629170358
0.51,41.90868100271681
0.511,41.91325709256667
0.512,41.9178245942984
0.513,41.922383540765374
0.514,41.926933964630486
0.515,41.931475898367665
0.516,41.936009374263335
0.517,41.940534424417876
0.518,41.94505108074702
0.519,41.94955937498332
0.52,41.95405933867754
0.521,41.95855100319999
0.522,41.96303439974202
0.523,41.96750955931728
0.524,41.971976512763135
0.525,41.97643529074197
0.526,41.98088592374255
0.527,41.98532844208132
0.528,41.98976287590369
0.529,41.994189255185375
0.53,41.998607609733604
0.531,42.00301796918844
0.532,42.007420363024025
0.533,42.011814820549795
0.534,42.01620137091175
0.535,42.02058004309365
0.536,42.02495086591823
0.537,42.02931386804837
0.538,42.033669077988336
0.539,42.03801652408492
0.54,42.04235623452858
0.541,42.04668823735466
0.542,42.05101256044445
0.543,42.0553292315264
0.544,42.05963827817718
0.545,42.06393972782282
0.546,42.068233607739806
0.547,42.07251994505616
0.548,42.076798766752546
0.549,42.081070099663314
0.55,42.08533397047758
0.551,42.08959040574027
0.552,42.09383943185314
0.553,42.09808107507588
0.554,42.10231536152706
0.555,42.10654231718517
0.556,42.110761967889644
0.557,42.11497433934183
0.558,42.119179457106
0.559,42.1233773466103
0.56,42.12756803314775
0.561,42.13175154187721
0.562,42.13592789782428
0.5630000000000001,42.1400971258823
0.5640000000000001,42.14425925081325
0.5650000000000001,42.148414297248706
0.5660000000000001,42.15256228969075
0.5670000000000001,42.156703252512855
0.5680000000000001,42.160837209960825
0.5690000000000001,42.16496418615367
0.5700000000000001,42.1690842050845
0.5710000000000001,42.1731972906214
0.5720000000000001,42.17730346650832
0.5730000000000001,42.181402756365884
0.5740000000000001,42.18549518369234
0.5750000000000001,42.18958077186431
0.5760000000000001,42.1936595441377
0.577,42.197731523648514
0.578,42.20179673341368
0.579,42.20585519633186
0.58,42.20990693518428
0.581,42.21395197263553
0.582,42.217990331234354
0.583,42.222022033414476
0.584,42.22604710149533
0.585,42.2300655576829
0.586,42.234077424070435
0.587,42.23808272263926
0.588,42.242081475259525
0.589,42.246073703690925
0.59,42.25005942958349
0.591,42.2540386744783
0.592,42.25801145980823
0.593,42.26197780689868
0.594,42.26593773696827
0.595,42.269891271129595
0.596,42.27383843038991
0.597,42.277779235651835
0.598,42.28171370771405
0.599,42.28564186727202
0.6,42.289563734918616
0.601,42.29347933114487
0.602,42.29738867634059
0.603,42.30129179079506
0.604,42.30518869469771
0.605,42.309079408138736
0.606,42.312963951109786
0.607,42.31684234350462
0.608,42.32071460511968
0.609,42.32458075565485
0.61,42.32844081471394
0.611,42.33229480180545
0.612,42.33614273634309
0.613,42.33998463764645
0.614,42.34382052494158
0.615,42.34765041736165
0.616,42.351474333947465
0.617,42.35529229364815
0.618,42.35910431532168
0.619,42.36291041773549
0.62,42.36671061956708
0.621,42.370504939404526
0.622,42.37429339574714
0.623,42.37807600700595
0.624,42.38185279150435
0.625,42.38562376747858
0.626,42.38938895307833
0.627,42.3931483663673
0.628,42.396902025323676
0.629,42.40064994784076
0.63,42.40439215172745
0.631,42.40812865470879
0.632,42.411859474426485
0.633,42.41558462843946
0.634,42.419304134224355
0.635,42.42301800917603
0.636,42.426726270608114
0.637,42.43042893575347
0.638,42.43412602176474
0.639,42.43781754571481
0.64,42.44150352459734
0.641,42.445183975327225
0.642,42.44885891474111
0.643,42.45252835959786
0.644,42.45619232657904
0.645,42.45985083228942
0.646,42.46350389325738
0.647,42.46715152593547
0.648,42.47079374670082
0.649,42.474430571855606
0.65,42.478062017627536
0.651,42.481688100170274
0.652,42.48530883556391
0.653,42.48892423981543
0.654,42.49253432885911
0.655,42.49613911855698
0.656,42.499738624699305
0.657,42.50333286300496
0.658,42.50692184912188
0.659,42.51050559862751
0.66,42.51408412702922
0.661,42.51765744976471
0.662,42.52122558220244
0.663,42.52478853964206
0.664,42.528346337314815
0.665,42.53189899038394
0.666,42.53544651394507
0.667,42.53898892302667
0.668,42.54252623259041
0.669,42.54605845753157
0.67,42.54958561267944
0.671,42.55310771279768
0.672,42.55662477258478
0.673,42.560136806674365
0.674,42.56364382963562
0.675,42.56714585597369
0.676,42.57064290013
0.677,42.57413497648266
0.678,42.57762209934687
0.679,42.58110428297525
0.68,42.58458154155818
0.681,42.588053889224234
0.682,42.5915213400405
0.683,42.59498390801293
0.684,42.59844160708672
0.685,42.60189445114665
0.686,42.60534245401744
0.687,42.60878562946409
