zHD,MU
0.35000000000000003,41.343997807098276
0.35100000000000003,41.351234666268056
0.352,41.3584525840712
0.353,41.365651662765345
0.354,41.372832003755065
0.355,41.379993707601315
0.356,41.38713687403092
0.357,41.394261601945814
0.358,41.40136798943239
0.359,41.40845613377043
0.36,41.41552613144208
0.361,41.422578078140674
0.362,41.429612068779406
0.363,41.436628197499914
0.364,41.44362655768069
0.365,41.450607241945505
0.366,41.45757034217154
0.367,41.46451594949757
0.368,41.47144415433185
0.369,41.47835504636015
0.37,41.4852487145535
0.371,41.492125247175764
0.372,41.49898473179133
0.373,41.50582725527258
0.374,41.5126529038072
0.375,41.51946176290549
0.376,41.52625391740759
0.377,41.53302945149048
0.378,41.539788448675026
0.379,41.546530991832874
0.38,41.553257163193244
0.381,41.55996704434964
0.382,41.56666071626654
0.383,41.57333825928581
0.384,41.57999975313336
0.385,41.58664527692531
0.386,41.59327490917439
0.387,41.59988872779624
0.388,41.60648681011533
0.389,41.613069232871126
0.39,41.619636072224125
0.391,41.62618740376165
0.392,41.632723302503734
0.393,41.639243842908854
0.394,41.64574909887952
0.395,41.65223914376807
0.396,41.658714050382024
0.397,41.66517389098966
0.398,41.67161873732529
0.399,41.67804866059474
0.4,41.68446373148052
0.401,41.69086402014699
0.402,41.69724959624556
0.403,41.70362052891975
0.404,41.70997688681013
0.405,41.71631873805934
0.406,41.72264615031693
0.40700000000000003,41.72895919074419
0.40800000000000003,41.73525792601889
0.40900000000000003,41.74154242234003
0.41000000000000003,41.74781274543247
0.41100000000000003,41.75406896055148
0.41200000000000003,41.760311132487324
0.41300000000000003,41.766539325569745
0.41400000000000003,41.77275360367235
0.41500000000000004,41.77895403021702
0.41600000000000004,41.785140668178165
0.417,41.791313580087106
0.418,41.79747282803615
0.419,41.80361847368292
0.42,41.809750578254295
0.421,41.81586920255064
0.422,41.82197440694972
0.423,41.82806625141071
0.424,41.83414479547811
0.425,41.84021009828564
0.426,41.84626221856007
0.427,41.85230121462502
0.428,41.85832714440466
0.429,41.86434006542744
0.43,41.870340034829795
0.431,41.876327109359664
0.432,41.88230134538014
0.433,41.88826279887298
0.434,41.8942115254421
0.435,41.90014758031702
0.436,41.90607101835627
0.437,41.911981894050776
0.438,41.9178802615272
0.439,41.92376617455125
0.44,41.929639686530884
0.441,41.935500850519574
0.442,41.941349719219474
0.443,41.94718634498467
0.444,41.953010779824055
0.445,41.95882307540471
0.446,41.96462328305471
0.447,41.970411453766275
0.448,41.97618763819864
0.449,41.98195188668113
0.45,41.98770424921595
0.451,41.99344477548115
0.452,41.999173514833416
0.453,42.00489051631092
0.454,42.01059582863607
0.455,42.01628950021832
0.456,42.02197157915687
0.457,42.02764211324332
0.458,42.03330114996439
0.459,42.038948736504544
0.46,42.044584919748566
0.461,42.05020974628421
0.462,42.055823262404665
0.463,42.06142551411115
0.464,42.06701654711536
0.465,42.07259640684195
0.466,42.07816513843106
0.467,42.08372278674054
0.468,42.089269396348556
0.46900000000000003,42.09480501155585
0.47000000000000003,42.10032967638805
0.47100000000000003,42.105843434598086
0.47200000000000003,42.111346329668386
0.47300000000000003,42.11683840481318
0.47400000000000003,42.1223197029808
0.47500000000000003,42.12779026685578
0.47600000000000003,42.13325013886118
0.47700000000000004,42.13869936116068
0.47800000000000004,42.14413797566072
0.47900000000000004,42.14956602401273
0.48,42.154983547615075
0.481,42.16039058761534
0.482,42.16578718491221
0.483,42.17117338015762
0.484,42.17654921375875
0.485,42.18191472587995
0.486,42.187269956444915
0.487,42.19261494513841
0.488,42.197949731408364
0.489,42.203274354467744
0.49,42.20858885329642
0.491,42.21389326664315
0.492,42.219187633027275
0.493,42.22447199074074
0.494,42.229746377849814
0.495,42.23501083219686
0.496,42.24026539140229
0.497,42.2455100928661
0.498,42.250744973769855
0.499,42.25597007107824
0.5,42.2611854215409
0.501,42.26639106169404
0.502,42.27158702786221
0.503,42.27677335615991
0.504,42.28195008249321
0.505,42.287117242561486
0.506,42.29227487185892
0.507,42.297423005676194
0.508,42.30256167910201
0.509,42.30769092702471
0.51,42.312810784133795
0.511,42.3179212849215
0.512,42.323022463684275
0.513,42.32811435452433
